Demand 0,Total 0,,Demand 1,Total 1,,Demand 2,Total 2,,Demand 3,Total 3,,Demand 4,Total 4,,Demand 5,Total 5,,Demand 6,Total 6,,Demand 7,Total 7,,Demand 8,Total 8,,Demand 9,Total 9
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,1,1,,1,1,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,0,1,,0,1,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,1,2,,0,1,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,0,2,,0,1,,0,0,,0,0
0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,0,2,,0,1,,0,0,,1,1
0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,0,2,,0,1,,0,0,,0,1
0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,0,2,,0,1,,0,0,,0,1
